"groupId","groupName","outfitKey","topId","topName","topPrice","bottomId","bottomName","bottomPrice","priceTotal","topUrl","bottomUrl"
"3211189","Style Abby","1960s casual pink teen","890317767","1960s Casual Pink Teen Top","8","890314074","1960s Casual Pink Teen","8","16","https://www.roblox.com/catalog/890317767","https://www.roblox.com/catalog/890314074"
"3211189","Style Abby","1910s black pleated day","6380716525","1910s Black Pleated Day Coat [T]","7","6380714810","1910s Black Pleated Day Coat [B]","7","14","https://www.roblox.com/catalog/6380716525","https://www.roblox.com/catalog/6380714810"
"3211189","Style Abby","1960 s refined red business","859314118","1960's Refined Red Business Coat Top","8","859314049","1960's Refined Red Business Coat","8","16","https://www.roblox.com/catalog/859314118","https://www.roblox.com/catalog/859314049"
"3211189","Style Abby","1910s blue pleated day","6380716539","1910s Blue Pleated Day Coat [T]","7","6380714808","1910s Blue Pleated Day Coat [B]","7","14","https://www.roblox.com/catalog/6380716539","https://www.roblox.com/catalog/6380714808"
"3211189","Style Abby","1960s futurism colorblock dress","2061074268","1960s Futurism Colorblock Dress [T]","5","2061073243","1960s Futurism Colorblock Dress [Purple] [B]","10","15","https://www.roblox.com/catalog/2061074268","https://www.roblox.com/catalog/2061073243"
"3211189","Style Abby","1960s big buttoned","1215832741","1960s Big-Buttoned Coat Top (Pink)","12","1215830759","1960s Big-Buttoned Coat (Pink)","12","24","https://www.roblox.com/catalog/1215832741","https://www.roblox.com/catalog/1215830759"
"3211189","Style Abby","1960s big buttoned","1215832741","1960s Big-Buttoned Coat Top (Pink)","12","1215831048","1960s Big-Buttoned Coat (Rose)","12","24","https://www.roblox.com/catalog/1215832741","https://www.roblox.com/catalog/1215831048"
"3211189","Style Abby","1960s big buttoned","1215833416","1960s Big-Buttoned Coat Top (Snow)","12","1215830759","1960s Big-Buttoned Coat (Pink)","12","24","https://www.roblox.com/catalog/1215833416","https://www.roblox.com/catalog/1215830759"
"3211189","Style Abby","1960s big buttoned","1215833416","1960s Big-Buttoned Coat Top (Snow)","12","1215831048","1960s Big-Buttoned Coat (Rose)","12","24","https://www.roblox.com/catalog/1215833416","https://www.roblox.com/catalog/1215831048"
"3211189","Style Abby","1960s big buttoned","1215833864","1960s Big-Buttoned Coat Top (Vanilla Mix)","12","1215830759","1960s Big-Buttoned Coat (Pink)","12","24","https://www.roblox.com/catalog/1215833864","https://www.roblox.com/catalog/1215830759"
"3211189","Style Abby","1960s big buttoned","1215833864","1960s Big-Buttoned Coat Top (Vanilla Mix)","12","1215831048","1960s Big-Buttoned Coat (Rose)","12","24","https://www.roblox.com/catalog/1215833864","https://www.roblox.com/catalog/1215831048"
"3211189","Style Abby","1960s big buttoned","1215833617","1960s Big-Buttoned Coat Top (Ocean)","12","1215830759","1960s Big-Buttoned Coat (Pink)","12","24","https://www.roblox.com/catalog/1215833617","https://www.roblox.com/catalog/1215830759"
"3211189","Style Abby","1960s big buttoned","1215833617","1960s Big-Buttoned Coat Top (Ocean)","12","1215831048","1960s Big-Buttoned Coat (Rose)","12","24","https://www.roblox.com/catalog/1215833617","https://www.roblox.com/catalog/1215831048"
"3211189","Style Abby","sa 60 s katy pantsuit","7014630986","SA │ 60's Katy Pantsuit (Brown)","7","7014630537","SA │ 60's Katy Pantsuit (Brown)","7","14","https://www.roblox.com/catalog/7014630986","https://www.roblox.com/catalog/7014630537"
"3211189","Style Abby","sa ww1 fur lined","7913936246","SA │ WW1 Fur Lined Coat (Blue)","7","7913911661","SA │ WW1  Fur Lined Coat (Blue)","7","14","https://www.roblox.com/catalog/7913936246","https://www.roblox.com/catalog/7913911661"
"3211189","Style Abby","sa ww1 fur lined","7913936246","SA │ WW1 Fur Lined Coat (Blue)","7","7913924530","SA │ WW1 Fur Lined Coat (Red)","7","14","https://www.roblox.com/catalog/7913936246","https://www.roblox.com/catalog/7913924530"
"3211189","Style Abby","sa ww1 fur lined","7913936246","SA │ WW1 Fur Lined Coat (Blue)","7","7913915191","SA │ WW1 Fur Lined Coat (Dusty Rose)","7","14","https://www.roblox.com/catalog/7913936246","https://www.roblox.com/catalog/7913915191"
"3211189","Style Abby","sa ww1 fur lined","7913936246","SA │ WW1 Fur Lined Coat (Blue)","7","7913918089","SA │ WW1 Fur Lined Coat (Green)","7","14","https://www.roblox.com/catalog/7913936246","https://www.roblox.com/catalog/7913918089"
"3211189","Style Abby","sa ww1 fur lined","7913947368","SA │ WW1 Fur Lined Coat (Red)","7","7913911661","SA │ WW1  Fur Lined Coat (Blue)","7","14","https://www.roblox.com/catalog/7913947368","https://www.roblox.com/catalog/7913911661"
"3211189","Style Abby","sa ww1 fur lined","7913947368","SA │ WW1 Fur Lined Coat (Red)","7","7913924530","SA │ WW1 Fur Lined Coat (Red)","7","14","https://www.roblox.com/catalog/7913947368","https://www.roblox.com/catalog/7913924530"
"3211189","Style Abby","sa ww1 fur lined","7913947368","SA │ WW1 Fur Lined Coat (Red)","7","7913915191","SA │ WW1 Fur Lined Coat (Dusty Rose)","7","14","https://www.roblox.com/catalog/7913947368","https://www.roblox.com/catalog/7913915191"
"3211189","Style Abby","sa ww1 fur lined","7913947368","SA │ WW1 Fur Lined Coat (Red)","7","7913918089","SA │ WW1 Fur Lined Coat (Green)","7","14","https://www.roblox.com/catalog/7913947368","https://www.roblox.com/catalog/7913918089"
"3211189","Style Abby","sa ww1 cinched satin dress","9192920073","SA | WW1 Cinched Satin Dress (Rust)","7","9192886244","SA | WW1 Cinched Satin Dress (Crimson)","7","14","https://www.roblox.com/catalog/9192920073","https://www.roblox.com/catalog/9192886244"
"3211189","Style Abby","sa ww1 cinched satin dress","9192920073","SA | WW1 Cinched Satin Dress (Rust)","7","9192899356","SA | WW1 Cinched Satin Dress (Rust)","7","14","https://www.roblox.com/catalog/9192920073","https://www.roblox.com/catalog/9192899356"
