"id","name","role","assetType","price","lowestPrice","productId","collectibleItemId","groupId","groupName","url","created"
"17509970537","Tip - 1","tshirt","2","100","100","4408610334520028","5bbca164-b54c-4e93-92b3-872bbf0bf85a","15843731","Beneventi's","https://www.roblox.com/catalog/17509970537","2024-05-16T12:24:00.283Z"
"18858759780","Tip - 6","tshirt","2","10000","10000","6606744901667772","a8e53d6b-875d-479e-9621-2ea900b9d143","15843731","Beneventi's","https://www.roblox.com/catalog/18858759780","2024-08-08T11:11:40.39Z"
"17509985751","Tip - 3","tshirt","2","300","300","7952333177129120","421dd309-8cae-423f-b3bc-3f92bec60952","15843731","Beneventi's","https://www.roblox.com/catalog/17509985751","2024-05-16T12:26:21.963Z"
"18858756396","Tip - 5","tshirt","2","5000","5000","680367730750437","c824a2c9-d8d8-4513-a15f-cb1e0989ba27","15843731","Beneventi's","https://www.roblox.com/catalog/18858756396","2024-08-08T11:11:18.623Z"
"17510353883","Tip - 4","tshirt","2","1000","1000","2599486004927859","799ad19a-5261-46ee-ac29-c7cd076e0242","15843731","Beneventi's","https://www.roblox.com/catalog/17510353883","2024-05-16T13:18:17.877Z"
"17509979840","Tip - 2","tshirt","2","500","500","7613056522958882","10b0ba78-07ca-4d95-84af-6921c0854bd2","15843731","Beneventi's","https://www.roblox.com/catalog/17509979840","2024-05-16T12:25:26.33Z"
"10564797116","[PARKSON] Custom Suits","tshirt","2","600","600","6130236173198169","244390f1-7c5b-442a-ae7f-2d99425ee1d5","15446013","Parkson & Co. Tailors","https://www.roblox.com/catalog/10564797116","2022-08-12T08:02:25.973Z"
"10341911382","[VIP] The Parkson Club","tshirt","2","2000","2000","8273616778179716","2915ec90-ddb6-4541-b2d1-b8002b48f869","15446013","Parkson & Co. Tailors","https://www.roblox.com/catalog/10341911382","2022-07-24T13:39:01.197Z"
"10332338968","[Parkson] Investment","tshirt","2","3000","3000","4476016394679582","073c423c-d694-40ee-bf2e-20f8c7daf375","15446013","Parkson & Co. Tailors","https://www.roblox.com/catalog/10332338968","2022-07-23T18:07:19.493Z"
"9777484642","SA | Drowning in Pearls","tshirt","2","5","5","7380434149985685","cd8cd349-de33-470f-b244-f5de04388dde","3211189","Style Abby","https://www.roblox.com/catalog/9777484642","2022-05-31T10:05:17.397Z"
"9208477990","SA | WW1 Evening Tailcoat Bowtie (Black)","tshirt","2","5","5","2278231720997799","26fa1995-cbc8-4b7c-af66-a4c8e374a645","3211189","Style Abby","https://www.roblox.com/catalog/9208477990","2022-03-27T05:37:07.04Z"
"9208479121","SA | WW1 Evening Tailcoat Bowtie (White)","tshirt","2","5","5","7996185707328335","5788d6a2-13df-4cb7-a15e-58eae68c796a","3211189","Style Abby","https://www.roblox.com/catalog/9208479121","2022-03-27T05:37:18.063Z"
"9777510577","SA | Short Double Strand Pearls","tshirt","2","5","5","3405160749126251","f246bb56-8db6-4584-b0af-2fb56b369002","3211189","Style Abby","https://www.roblox.com/catalog/9777510577","2022-05-31T10:10:14.667Z"
"4462014698","1900s Evening Pearls","tshirt","2","5","5","3835901495656410","38d7eb08-fa60-44d0-a82b-0eb8f4e99daf","3211189","Style Abby","https://www.roblox.com/catalog/4462014698","2019-11-26T21:55:00.047Z"
